0 - 2 mile,,,,,2 - 5 mile,,,,,5 - 8 mile,,,,,,,,,,,,
Trends 2025 - 2030,Area,State,National,,Trends 2025 - 2030,Area,State,National,,Trends 2025 - 2030,Area,State,National,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
2025 Median Net Worth,"US$ 80,658","US$ 167,704","US$ 152,141",,,,,,,,,,,,,,,,,,,
2025 Wealth Index,71,110,103,,,,,,,,,,,,,,,,,,,
2025 Housing Affordability Index,72,75,74,,,,,,,,,,,,,,,,,,,
2025 Diversity Index,69,73,81,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Households by Income for 2025,,,,,,,,,,,,,,,,,,,,,,
Variable,"4170 E Ponce de Leon Ave, Clarkston, Georgia, 30021 (0 - 2 mile)","4170 E Ponce de Leon Ave, Clarkston, Georgia, 30021 (2 - 5 mile)","4170 E Ponce de Leon Ave, Clarkston, Georgia, 30021 (5 - 8 mile)",,,,,,,,,,,,,,,,,,,
"2025 HH Income <$10,000: Percent",5.6,5.0,5.2,,,,,,,,,,,,,,,,,,,
"2025 HH Income $10,000-14,999: Percent",3.2,3.4,2.6,,,,,,,,,,,,,,,,,,,
"2025 HH Income $15,000-19,999: Percent",3.7,3.0,2.8,,,,,,,,,,,,,,,,,,,
"2025 HH Income $20,000-24,999: Percent",3.2,3.5,3.1,,,,,,,,,,,,,,,,,,,
"2025 HH Income $25,000-29,999: Percent",3.1,2.6,2.6,,,,,,,,,,,,,,,,,,,
"2025 HH Income $30,000-34,999: Percent",4.0,3.7,3.2,,,,,,,,,,,,,,,,,,,
"2025 HH Income $35,000-39,999: Percent",5.0,3.6,3.4,,,,,,,,,,,,,,,,,,,
"2025 HH Income $40,000-44,999: Percent",4.3,2.7,2.4,,,,,,,,,,,,,,,,,,,
"2025 HH Income $45,000-49,999: Percent",2.9,2.6,2.6,,,,,,,,,,,,,,,,,,,
"2025 HH Income $50,000-59,999: Percent",7.3,6.4,6.0,,,,,,,,,,,,,,,,,,,
"2025 HH Income $60,000-74,999: Percent",12.4,8.9,9.2,,,,,,,,,,,,,,,,,,,
2025 HH Income $75000-99999: Percent,11.4,10.1,11.8,,,,,,,,,,,,,,,,,,,
"2025 HH Income $100,000-124,999: Percent",6.9,8.1,9.2,,,,,,,,,,,,,,,,,,,
"2025 HH Income $125,000-149,999: Percent",8.7,8.8,8.2,,,,,,,,,,,,,,,,,,,
2025 HH Income $150000-199999: Percent,8.3,10.1,9.5,,,,,,,,,,,,,,,,,,,
"2025 HH Income $200,000-249,999: Percent",3.8,5.7,5.3,,,,,,,,,,,,,,,,,,,
"2025 HH Income $250,000-299,999: Percent",2.6,4.0,4.1,,,,,,,,,,,,,,,,,,,
"2025 HH Income $300,000-399,999: Percent",1.4,2.9,3.3,,,,,,,,,,,,,,,,,,,
"2025 HH Income $400,000-499,999: Percent",0.6,1.2,1.2,,,,,,,,,,,,,,,,,,,
"2025 HH Income $500,000 or greater: Percent",1.7,3.7,4.4,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Population by Race,,,,,,,,,,,,,,,,,,,,,,
Variable,"4170 E Ponce de Leon Ave, Clarkston, Georgia, 30021 (0 - 2 mile)","4170 E Ponce de Leon Ave, Clarkston, Georgia, 30021 (2 - 5 mile)","4170 E Ponce de Leon Ave, Clarkston, Georgia, 30021 (5 - 8 mile)",,,,,,,,,,,,,,,,,,,
2025 White Population: Percent,20.8,39.1,34.8,,,,,,,,,,,,,,,,,,,
2025 Black Population: Percent,51.3,40.6,36.1,,,,,,,,,,,,,,,,,,,
2025 American Indian Population: Percent,0.4,0.4,1.0,,,,,,,,,,,,,,,,,,,
2025 Asian Population: Percent,18.3,7.4,7.9,,,,,,,,,,,,,,,,,,,
2025 Pacific Islander Population: Percent,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
2025 Other Race Population: Percent,3.3,5.1,11.6,,,,,,,,,,,,,,,,,,,
2025 Population of 2+ Races: Percent,5.9,7.4,8.6,,,,,,,,,,,,,,,,,,,
2030 White Population: Percent,19.3,37.5,33.3,,,,,,,,,,,,,,,,,,,
2030 Black Population: Percent,52.1,41.2,36.2,,,,,,,,,,,,,,,,,,,
2030 American Indian Population: Percent,0.4,0.4,1.0,,,,,,,,,,,,,,,,,,,
2030 Asian Population: Percent,18.8,7.8,8.5,,,,,,,,,,,,,,,,,,,
2030 Pacific Islander Population: Percent,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
2030 Other Race Population: Percent,3.4,5.3,12.0,,,,,,,,,,,,,,,,,,,
2030 Population of 2+ Races: Percent,6.1,7.8,9.0,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
"Source: This infographic contains data provided by U.S. Census (2010, 2020), Esri (2025, 2030), Esri-Data Axle (2025).",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
